scenario_id,condition,run_id,outcome,n_turns
1,cooperative,0,Agreement,2
1,cooperative,1,Agreement,2
1,cooperative,2,Agreement,1
1,competitive,0,Agreement,2
1,competitive,1,Agreement,6
1,competitive,2,Agreement,1
1,mixed,0,Agreement,1
1,mixed,1,Agreement,12
1,mixed,2,Agreement,1
2,cooperative,0,Agreement,6
2,cooperative,1,Agreement,8
2,cooperative,2,Agreement,3
2,competitive,0,Agreement,2
2,competitive,1,Agreement,1
2,competitive,2,Agreement,6
2,mixed,0,Agreement,6
2,mixed,1,Agreement,1
2,mixed,2,Agreement,10
3,cooperative,0,Agreement,1
3,cooperative,1,Agreement,6
3,cooperative,2,Agreement,1
3,competitive,0,Agreement,1
3,competitive,1,Agreement,1
3,competitive,2,Agreement,1
3,mixed,0,Agreement,4
3,mixed,1,Agreement,4
3,mixed,2,Agreement,1
