scenario_id,condition,run_id,outcome,n_turns
1,cooperative,0,Timeout,16
1,cooperative,1,Timeout,16
1,cooperative,2,Timeout,16
1,competitive,0,Timeout,16
1,competitive,1,Timeout,16
1,competitive,2,Timeout,16
1,mixed,0,Timeout,16
1,mixed,1,Timeout,16
1,mixed,2,Timeout,16
2,cooperative,0,Timeout,16
2,cooperative,1,Timeout,16
2,cooperative,2,Timeout,16
2,competitive,0,Timeout,16
2,competitive,1,Timeout,16
2,competitive,2,Timeout,16
2,mixed,0,Timeout,16
2,mixed,1,Timeout,16
2,mixed,2,Timeout,16
3,cooperative,0,Timeout,16
3,cooperative,1,Timeout,16
3,cooperative,2,Timeout,16
3,competitive,0,Timeout,16
3,competitive,1,Timeout,16
3,competitive,2,Timeout,16
3,mixed,0,Timeout,16
3,mixed,1,Timeout,16
3,mixed,2,Timeout,16
