scenario_id,condition,run_id,outcome,n_turns
1,cooperative,0,Agreement,5
1,cooperative,1,Timeout,12
1,cooperative,2,Timeout,12
1,competitive,0,Failure,10
1,competitive,1,Failure,2
1,competitive,2,Timeout,12
1,mixed,0,Timeout,12
1,mixed,1,Timeout,12
1,mixed,2,Failure,4
2,cooperative,0,Timeout,12
2,cooperative,1,Timeout,12
2,cooperative,2,Failure,1
2,competitive,0,Failure,7
2,competitive,1,Timeout,12
2,competitive,2,Timeout,12
2,mixed,0,Timeout,12
2,mixed,1,Timeout,12
2,mixed,2,Agreement,3
3,cooperative,0,Agreement,11
3,cooperative,1,Agreement,11
3,cooperative,2,Agreement,4
3,competitive,0,Timeout,12
3,competitive,1,Agreement,12
3,competitive,2,Timeout,12
3,mixed,0,Agreement,4
3,mixed,1,Timeout,12
3,mixed,2,Timeout,12
