scenario_id,condition,run_id,outcome,n_turns,best_candidate_utility,best_employer_utility
1,cooperative,0,AcceptedLowUtility,4,0.8636363636363636,0.5909090909090909
1,cooperative,1,AcceptedLowUtility,5,0.7272727272727273,0.5909090909090909
1,cooperative,2,AcceptedLowUtility,6,0.8636363636363636,0.6818181818181818
1,competitive,0,AcceptedLowUtility,9,0.8636363636363636,0.45454545454545453
1,competitive,1,AcceptedLowUtility,2,0.5454545454545454,0.5909090909090909
1,competitive,2,AcceptedLowUtility,1,0.2727272727272727,0.7727272727272727
1,mixed,0,AcceptedLowUtility,5,0.8181818181818182,0.36363636363636365
1,mixed,1,AcceptedLowUtility,2,0.7727272727272727,0.45454545454545453
1,mixed,2,AcceptedLowUtility,4,0.7727272727272727,0.7272727272727273
2,cooperative,0,AcceptedLowUtility,4,0.8181818181818182,0.36363636363636365
2,cooperative,1,AcceptedLowUtility,6,0.7272727272727273,0.5909090909090909
2,cooperative,2,AcceptedLowUtility,2,0.7272727272727273,0.6818181818181818
2,competitive,0,AcceptedLowUtility,6,0.7727272727272727,0.6363636363636364
2,competitive,1,AcceptedLowUtility,13,0.6818181818181818,0.7272727272727273
2,competitive,2,AcceptedLowUtility,5,0.7272727272727273,0.5454545454545454
2,mixed,0,AcceptedLowUtility,7,0.7727272727272727,0.7727272727272727
2,mixed,1,AcceptedLowUtility,3,0.7727272727272727,0.5909090909090909
2,mixed,2,AcceptedLowUtility,1,0.36363636363636365,0.6818181818181818
3,cooperative,0,AcceptedLowUtility,6,0.5454545454545454,0.7727272727272727
3,cooperative,1,AcceptedLowUtility,4,0.8636363636363636,0.5454545454545454
3,cooperative,2,AcceptedLowUtility,2,0.9090909090909091,0.18181818181818182
3,competitive,0,AcceptedLowUtility,7,0.7727272727272727,0.8181818181818182
3,competitive,1,AcceptedLowUtility,3,1.0,0.5454545454545454
3,competitive,2,AcceptedLowUtility,4,0.7727272727272727,0.45454545454545453
3,mixed,0,AcceptedLowUtility,7,0.7272727272727273,0.7272727272727273
3,mixed,1,AcceptedLowUtility,7,0.8636363636363636,0.6363636363636364
3,mixed,2,Impasse,20,0.7727272727272727,0.5454545454545454
